Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,223,171,279,182,PDT,
1,286,171,410,182,Reference,
2,420,171,462,182,No.,
3,224,212,280,243,Page,
4,643,222,647,233,1,
5,660,222,700,233,of,
6,685,212,696,243,3,
7,944,93,1092,107,Purchase,
8,1104,93,1201,107,Order,
9,756,208,894,217,S120009459,
10,1068,142,1176,153,Purchase,
11,1186,142,1260,153,Order,
12,1266,142,1307,153,No.,
13,1458,146,1462,153,2,
14,1068,164,1176,175,Purchase,
15,1186,164,1260,175,Order,
16,1266,164,1323,175,Date,
17,1458,168,1462,175,2,
18,1489,164,1619,175,09/12/2020,Issuer Date
19,1068,193,1156,204,Printed,
20,1162,196,1191,204,on,
21,1458,196,1462,204,A,
22,1070,222,1182,237,Expected,
23,1190,222,1285,233,Receive,
24,1296,222,1352,233,Date,
25,1362,222,1385,233,&,
26,1393,222,1462,233,Time:,
27,1493,142,1584,153,10094-6,
28,1600,142,1715,153,120009459,
29,1494,193,1619,204,10/12/2020,Print date
30,1627,193,1724,204,08:19:17,Print date
31,1489,221,1619,233,20/12/2020,Deliver Date
32,1632,222,1724,233,18:00:00,Deliver Date
34,231,244,322,255,Vendor,
38,1078,244,1170,259,Ship-To,
39,1180,244,1284,255,Location,
42,224,266,295,277,04516,Vendor Address
43,305,266,415,277,AWFAO2,Vendor Address
44,225,288,508,299,A.W.FABER-CASTELL,Vendor Address
45,515,288,557,302,(MD),Vendor Address
46,566,288,622,299,SDN,Vendor Address
47,630,288,689,299,BHD,Vendor Address
48,226,310,281,322,NO.9,Vendor Address
49,290,320,295,324,",",Vendor Address
50,303,310,390,322,JALAN,Vendor Address
51,400,310,432,322,TP,Vendor Address
52,440,310,453,322,2,Vendor Address
53,224,332,324,344,TAMAN,Vendor Address
54,334,332,555,344,PERINDUSTRLIAN,Vendor Address
55,566,332,633,344,SIME,Vendor Address
56,642,333,698,346,"UEP,",Vendor Address
57,223,354,295,366,47600,Vendor Address
58,305,354,419,366,SUBANG,Vendor Address
59,427,354,500,366,JAYA,Vendor Address
60,507,354,658,366,SELANGOR,Vendor Address
61,663,355,758,366,DARUL,Vendor Address
62,764,354,856,366,LLISAN,Vendor Address
63,224,376,260,388,‘Vel,Vendor Address
64,268,380,271,388,:,Vendor Address
65,279,377,433,388,03-56334718,Vendor Address
66,442,369,524,397,563347,
67,537,377,573,388,ax,Vendor Address
68,582,380,585,388,:,Vendor Address
69,592,377,745,388,O3-56341231,Vendor Address
70,1075,266,1142,277,10094,Shipping Address
71,1150,266,1191,277,KK,Shipping Address
72,1070,288,1174,299,Beonsave,Shipping Address
73,1183,288,1238,299,Cash,Shipping Address
74,1246,288,1268,299,&,Shipping Address
75,1275,288,1339,303,Carry,Shipping Address
76,1346,288,1406,302,(KK),Shipping Address
77,1416,288,1458,299,Sdn,Shipping Address
78,1465,288,1511,299,Bhd,Shipping Address
79,1070,311,1108,322,Lot,Shipping Address
80,1115,311,1149,322,PT,Shipping Address
81,1158,310,1212,322,1640,Shipping Address
82,1220,310,1243,322,&,Shipping Address
83,1250,311,1283,322,PT,Shipping Address
84,1293,310,1447,325,"1685,Seksyen",Shipping Address
85,1455,310,1489,323,"54,",Shipping Address
86,1498,310,1553,322,Jalan,Shipping Address
87,1560,310,1611,325,Raja,Shipping Address
88,1620,311,1743,325,Perempuan,Shipping Address
89,1748,310,1822,322,Zainab,Shipping Address
90,1832,311,1854,324,"I,",Shipping Address
91,1070,332,1151,344,Mukim,Shipping Address
92,1155,332,1231,346,"Kenali,",Shipping Address
93,1240,332,1329,347,Kubang,Shipping Address
94,1334,332,1414,346,"Kerian,",Shipping Address
95,1427,332,1495,344,16150,Shipping Address
96,1503,333,1558,344,Kota,Shipping Address
97,1567,332,1656,346,"Bharu,K",Shipping Address
98,1662,328,1740,352,clantan,Shipping Address
99,1070,376,1106,388,‘Tel,Shipping Address
100,1114,380,1117,388,:,Shipping Address
101,1124,377,1221,388,03-5162,Shipping Address
102,1230,376,1309,388,7053/4,Shipping Address
103,1380,377,1423,388,liax,Shipping Address
104,1431,380,1434,388,:,Shipping Address
105,1442,377,1538,388,03-5162,Shipping Address
106,1548,377,1605,388,7064,Shipping Address
111,225,399,295,410,E-mail,
112,304,402,307,410,:,
113,1072,399,1141,410,E-mail,
114,1150,402,1153,410,:,
115,231,407,271,440,Trem,
116,476,407,589,440,Description,
117,1206,421,1246,430,Unit,
118,1335,422,1395,430,Order,
119,1404,422,1450,430,Pack,
120,1547,422,1590,430,Total,
121,1663,421,1703,430,Unie,
122,1711,421,1762,430,Price|,
123,1844,422,1921,430,Amoung],
124,231,435,313,456,Barcodc,
125,1090,435,1175,456,Capacity,
126,1362,440,1404,449,Irece,
127,1413,440,1453,449,Unit],
128,1713,440,1762,450,cRND,
129,1871,440,1920,450,cRND|,
130,225,459,353,471,543000087,
131,528,469,576,473,TIE,
132,998,469,1009,476,5,
133,1249,459,1296,471,10.0,
134,1419,459,1452,471,T.O],
135,1684,469,1695,476,5,
136,1856,469,1883,478,35,
137,232,479,417,490,0556080435093,
138,469,469,500,480,FO,
139,513,469,597,480,CLICK,
140,607,469,731,480,BALLPEN,
141,740,469,827,483,(BLUE),
142,835,469,865,480,4S,
143,874,469,961,480,0.5MM,
144,973,469,1053,480,142593,
145,1417,479,1450,490,Oo,
146,1547,457,1592,490,10.0],
147,1684,457,1766,490,2.2100),
148,1856,469,1920,480,22.10],
149,225,499,353,510,543000088,
150,774,508,778,509,-,
151,1250,499,1296,510,10.0,
152,1420,499,1452,510,1.0,
153,481,509,484,511,tC,
154,527,508,576,512,CLIC,
155,708,509,710,511,:,
156,779,509,803,512,—,
157,859,508,862,512,:,
158,996,508,1007,516,>,
159,1684,508,1695,516,>,
160,1856,508,1868,517,5,
161,232,518,419,529,0556080435086,
162,469,508,503,520,IFC,
163,513,508,600,520,CLICK,
164,607,508,729,520,BALLPEN,
165,740,508,825,523,(ASST),
166,833,508,863,520,4S,
167,872,508,960,520,0.5MM,
168,970,508,1052,520,142594,
169,1417,518,1452,529,oo,
170,1532,497,1592,530,10.0],
171,1683,508,1762,520,2.2100,
172,1856,508,1920,520,22.10),
173,225,538,353,550,543000090,
174,1249,538,1296,550,10.0],
175,1420,538,1452,550,1.0,
176,498,548,504,558,2,
177,526,548,576,558,CLic,
178,851,548,893,559,so.,
179,997,548,1054,559,2252,
180,1683,548,1718,559,2.2,
181,1856,548,1889,559,22.,
182,232,538,417,573,0556080422543,
183,470,548,500,559,FC,
184,513,548,598,559,CLICK,
185,608,548,729,559,BALLPEN,
186,740,548,827,562,(BLUE),
187,835,548,865,559,4S,
188,874,548,960,559,0.7MM,
189,973,548,1039,559,14225,
190,1191,558,1266,569,LUND,
191,1417,558,1452,569,oo,
192,1547,548,1592,559,10.0],
193,1725,548,1762,559,100],
194,1870,548,1920,559,2.10,
195,225,578,349,589,543000091,
196,520,587,527,588,-,
197,1251,578,1296,589,10.0],
198,1421,578,1452,589,1.0],
199,998,587,1009,596,5,
200,1706,587,1717,596,5,
201,1871,587,1883,595,5,
202,232,597,419,608,0556058042204,
203,469,587,499,599,FO,
204,513,587,597,599,CLICK,
205,607,587,731,598,BALILPEN,
206,740,587,813,601,(BLK),
207,821,587,850,599,4S,
208,860,587,947,599,0.7MM,
209,956,587,1039,599,142255,
210,1417,597,1452,608,oo,
211,1545,572,1596,605,10.0],
212,1684,587,1762,599,2.2100,
213,1856,587,1920,599,22.10),
214,225,617,353,628,543000092,
215,498,627,576,630,clic,
216,777,627,798,630,sc,
217,1251,617,1296,629,10.0],
218,1421,617,1452,628,1.0],
219,232,636,297,648,Scar,
220,470,627,504,638,FC,
221,513,627,598,638,CLICK,
222,609,627,729,638,BALLPEN,
223,740,627,825,641,(ASST),
224,833,627,863,638,4S,
225,872,627,958,638,0.7MM,
226,971,627,1052,638,142254,
227,1417,636,1449,648,oo,
228,1547,627,1592,638,10.0],
229,1683,627,1762,638,2.2100,
230,1856,627,1920,638,22.10),
231,225,645,353,678,543000147,
232,818,666,821,667,-,
233,1236,645,1296,678,10.0],
234,1420,657,1452,668,1.0,
235,500,666,503,669,+,
236,597,666,628,677,>EN,
237,796,667,798,669,.,
238,1684,666,1695,675,5,
239,232,676,418,687,0555684655707,
240,469,666,503,678,IFC:,
241,511,666,551,677,NX,
242,555,675,620,677,B/PEN,
243,649,666,683,678,0.5,
244,692,666,764,678,BILUF,
245,770,666,800,678,48,
246,809,666,890,678,642301,
247,1417,676,1452,687,a,
248,1545,651,1595,683,10.0),
249,1684,650,1762,682,2.3400),
250,1856,666,1920,678,23.40),
251,225,696,353,707,543000148,
252,761,706,765,709,.,
253,819,706,824,709,5,
254,1251,684,1296,717,10.0],
255,1422,696,1452,707,1.0,
256,232,715,418,726,0555684655738,
257,469,706,500,717,IFC,
258,513,706,555,717,NX,
259,561,705,638,717,B/PEN,
260,649,706,683,717,0.5,
261,692,706,788,717,BLACK,
262,795,706,825,717,4S,
263,834,706,919,717,642302,
264,1417,715,1452,726,oe,
265,1545,691,1592,723,10.0,
266,1683,706,1762,717,2.3400,
267,1856,706,1920,717,23.40],
268,225,735,353,747,543000149,
269,1249,735,1296,747,10.0,
270,1405,724,1452,756,2.0],
271,1879,745,1882,746,-,
272,501,745,503,748,:,
273,838,745,850,753,2.,
274,232,755,258,766,OS,
275,261,755,418,766,5SOR4GSSOIZ,
276,469,745,500,756,IFC,
277,511,745,555,756,NX,
278,561,745,640,756,B/PEN,
279,649,745,684,756,0.7,
280,692,745,764,756,BLUE,
281,770,745,800,756,4S,
282,809,745,890,756,642401,
283,1193,755,1251,766,DUNT,
284,1417,755,1450,766,ae,
285,1542,729,1592,762,20.0],
286,1684,728,1766,761,2.3400),
287,1855,745,1920,756,46:20,
288,225,775,353,786,543000150,
289,816,784,819,785,-,
290,1249,763,1296,796,10.0],
291,1417,775,1452,786,2.0,
292,479,785,503,791,cc,
293,615,785,619,792,5,
294,820,784,824,788,5,
295,864,784,875,793,642.,
296,1543,784,1554,793,2,
297,288,794,317,806,Se,
298,327,794,360,806,Cas,
299,468,785,503,796,Ic,
300,512,785,555,796,NX,
301,561,784,638,796,B/PEN,
302,649,785,684,796,0.7,
303,692,785,788,796,BLACK,
304,795,784,825,796,4S,
305,834,784,919,796,642402,
306,1417,794,1452,806,ool,
307,1542,769,1592,802,20.0],
308,1683,784,1762,796,2.3400,
309,1855,784,1920,796,46.80,
310,225,814,353,826,543000152,
311,1236,803,1296,836,10.0],
312,1420,814,1452,826,1.0],
313,498,824,504,834,>,
314,786,824,798,835,S,
315,838,824,860,835,6425,
316,1699,833,1703,835,x,
317,1856,824,1889,835,23.,
318,470,824,500,835,FC,
319,513,824,554,835,NX,
320,563,824,639,835,B/PEN,
321,654,824,684,835,1.0,
322,694,824,764,835,BLUE,
323,770,824,800,835,4S,
324,809,824,890,835,642501,
325,1417,834,1447,845,xe,
326,1547,824,1592,835,10.0],
327,1683,824,1762,835,2.3400,
328,1872,824,1920,835,3.40,
329,225,854,352,865,543000153,
330,843,863,847,864,-,
331,1251,854,1296,865,10.0],
332,1421,854,1452,865,1.0],
333,500,863,504,867,7,
334,762,863,765,867,+,
335,821,863,875,872,5642,
336,1684,863,1695,872,>,
337,232,873,418,884,0555684656155,
338,469,863,503,875,IFC,
339,511,863,553,874,NX,
340,553,852,633,884,B/PEN,
341,652,863,684,875,1.0,
342,692,863,786,875,BLACK,
343,796,863,825,875,4S,
344,834,863,920,875,642502,
345,1193,873,1291,884,bones,
346,1417,873,1452,884,oo,
347,1545,848,1595,880,10.0),
348,1684,847,1766,879,2.3400),
349,1856,863,1920,875,23.40),
350,225,893,354,905,543000154,
351,1249,877,1296,909,10.0,
352,1419,893,1452,905,1.0],
353,497,903,504,913,=,
354,938,911,943,914,i,
355,1572,912,1575,914,a,
356,1856,903,1889,914,23.,
357,232,912,419,924,0555684656186,
358,470,903,501,914,FC,
359,512,903,554,914,NX,
360,562,903,639,914,B/PEN,
361,654,903,684,914,1.0,
362,693,903,916,914,2BLU/IBLK/IRED,
363,922,903,952,914,4S,
364,1417,912,1447,924,oe,
365,1547,903,1592,914,10.0],
366,1719,903,1762,914,400,
367,1871,903,1920,914,3.40,
368,225,967,353,979,543000158,
369,1249,967,1296,979,10.0,
370,1419,967,1452,979,1.0],
371,501,977,503,980,>,
372,528,977,576,981,CHIC,
373,694,977,728,988,EN,
374,983,977,995,985,2,
375,1669,966,1703,998,2.,
376,1856,977,1889,988,22.,
377,232,986,419,998,5560894251109,
378,469,977,500,988,IFO,
379,513,977,597,988,CLICK,
380,607,977,711,988,BALLPEN,
381,740,977,813,991,(BLK),
382,821,977,850,988,4S,
383,860,977,946,988,0.5MM,
384,959,977,1039,988,142595,
385,1191,986,1293,998,LUND,
386,1417,986,1452,998,oo,
387,1547,977,1592,988,10.0],
388,1705,977,1762,988,2100,
389,1898,977,1920,988,10),
390,225,995,353,1028,543000162,
391,1247,995,1296,1028,10.0],
392,1420,1007,1452,1018,1.0,
393,482,1017,484,1019,.,
394,593,1017,619,1023,DE,
395,893,1017,895,1019,.,
396,1684,1016,1695,1024,>,
397,1856,1016,1868,1025,>,
398,232,1026,419,1037,0555684055769,
399,469,1017,481,1028,IFC,
400,513,1017,555,1028,NX,
401,561,1016,638,1028,B/PEN,
402,649,1016,683,1028,0.5,
403,693,1016,916,1028,2BLU/1BLK/1RED,
404,922,1016,952,1028,4S,
405,1417,1026,1451,1037,bo,
406,1545,1002,1592,1034,10.0),
407,1683,1016,1762,1028,2.3400,
408,1856,1016,1920,1028,23.40],
409,469,1053,554,1064,642303,
410,225,1081,353,1092,543000166,
411,500,1090,503,1091,-,
412,1250,1081,1296,1092,10.0,
413,1416,1081,1452,1092,2.0,
414,537,1091,589,1097,ECG,
415,924,1091,929,1097,2,
416,1543,1090,1554,1099,2,
417,232,1100,418,1111,9555684690252,
418,469,1091,519,1105,(PS),
419,526,1091,535,1102,FC,
420,571,1091,633,1102,GRIP,
421,641,1091,662,1102,X,
422,669,1091,757,1102,0.5MM,
423,763,1090,874,1102,2BL/2BK,
424,881,1090,941,1102,B3F1,
425,1289,1100,1300,1111,|,
426,1417,1100,1452,1111,oo,
427,1532,1076,1592,1108,20.0),
428,1683,1090,1762,1102,2.7500,
429,1856,1091,1920,1102,55.00),
430,469,1127,554,1138,S40893,
431,225,1155,353,1166,543000167,
432,537,1164,589,1171,a,
433,924,1165,929,1171,:,
434,1251,1155,1288,1166,10.0,
435,1421,1155,1452,1166,1.0],
436,232,1154,417,1189,9555684690883,
437,469,1165,519,1179,(PS),
438,526,1165,557,1176,FC,
439,571,1165,633,1176,GRIP,
440,641,1165,663,1176,X,
441,669,1165,757,1176,0.5MM,
442,764,1164,874,1176,3BL/1BK,
443,881,1165,941,1176,311,
444,1289,1174,1300,1185,|,
445,1417,1174,1452,1185,oe,
446,1545,1150,1595,1182,10.0),
447,1683,1164,1762,1176,2.7500,
448,1855,1165,1920,1176,27.50,
449,469,1201,555,1212,540894,
455,771,1252,782,1258,*,
456,791,1252,836,1263,This,
457,844,1252,859,1263,is,
458,867,1253,972,1267,computer,
459,979,1252,1091,1267,"generated,",
460,1099,1255,1126,1263,no,
461,1135,1252,1230,1267,signature,
462,1238,1252,1253,1263,is,
463,1261,1252,1372,1267,required.,
464,1358,1243,1369,1274,*,
466,1921,416,1925,1225,100000,
