Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,425,60,527,84,BILLION,Issuer Address
1,539,60,655,84,SHOPPING,Issuer Address
2,665,60,752,84,CENTRE,Issuer Address
3,766,60,953,87,(BUTTERWORTH),Issuer Address
4,967,60,1008,84,SDN,Issuer Address
5,1019,61,1061,83,BHD,Issuer Address
6,1072,73,1080,75,-,Issuer Address
7,1095,60,1271,84,199101006927,Issuer Address
8,1285,60,1427,88,(217237-A),Issuer Address
9,1440,60,1602,84,BUTTERWORTH,Issuer Address
12,48,161,115,186,DELIVERY,Shipping Address
13,114,161,137,186,TO,Shipping Address
14,146,169,148,179,:,Shipping Address
15,604,165,670,182,Supplier,Vendor Address
16,677,166,703,179,No:,Vendor Address
17,720,165,770,178,A00037,Vendor Address
18,1145,161,1203,186,Invoice,Invoice Address
19,1203,161,1224,186,To,Invoice Address
20,1579,161,1695,192,PURCHASE,
21,1706,165,1779,188,ORDER,
22,48,196,107,209,BILLION,Shipping Address
23,114,196,180,209,SHOPPING,Shipping Address
24,186,196,235,209,CENTRE,Shipping Address
25,244,196,351,211,(BUTTERWORTH),Shipping Address
26,359,196,382,209,SDN,Shipping Address
27,389,196,413,209,BHD.,Shipping Address
28,603,196,628,209,A.W.,Vendor Address
29,643,196,752,209,FABER-CASTELL,Vendor Address
30,760,196,781,211,(M),Vendor Address
31,789,196,813,209,SDN,Vendor Address
32,819,196,928,211,BHD(040619-U),Vendor Address
33,1144,196,1203,209,BILLION,Invoice Address
34,1209,196,1276,209,SHOPPING,Invoice Address
35,1282,196,1331,209,CENTRE,Invoice Address
36,1339,196,1447,211,(BUTTERWORTH),Invoice Address
37,1455,196,1478,209,SDN,Invoice Address
38,1484,196,1508,209,BHD,Invoice Address
39,1579,197,1606,220,PO,Order Number
40,1616,198,1643,221,No,Order Number
41,1651,203,1654,220,:,Order Number
42,1668,189,1829,221,PBLBW103273,Order Number
43,121,227,223,240,002004615168,Shipping Address
44,603,227,628,241,GST,Vendor Address
45,635,228,649,241,ID:,Vendor Address
46,676,227,778,240,002136195072,Vendor Address
47,1144,227,1168,241,GST,Invoice Address
48,1175,228,1200,241,ID:,Invoice Address
49,1246,227,1348,240,002004615168,Invoice Address
50,48,260,87,275,"7009,",Shipping Address
51,96,260,120,274,SEK,Shipping Address
52,121,256,139,282,"2,",Shipping Address
53,148,260,189,274,JALAN,Shipping Address
54,194,260,245,274,TELAGA,Shipping Address
55,250,260,281,275,"AIR,",Shipping Address
56,290,260,331,274,12200,Shipping Address
57,604,260,642,275,"NO.9,",Vendor Address
58,652,260,692,273,JALAN,Vendor Address
59,698,260,729,275,"TP2,",Vendor Address
60,736,260,778,273,TAMAN,Vendor Address
61,785,260,894,274,PERINDUSTRIAN,Vendor Address
62,901,260,933,274,SIME,Vendor Address
63,1144,259,1183,274,"7009,",Invoice Address
64,1192,259,1216,272,SEK,Invoice Address
65,1217,255,1235,281,"2,",Invoice Address
66,1244,259,1284,272,JALAN,Invoice Address
67,1290,259,1341,272,TELAGA,Invoice Address
68,1346,259,1377,274,"AIR,",Invoice Address
69,1386,259,1426,272,12200,Invoice Address
70,48,285,141,299,BUTTERWORTH,Shipping Address
71,148,285,158,299,S.,Shipping Address
72,165,286,188,299,P.,Shipping Address
73,179,281,188,308,U,Shipping Address
74,604,286,634,300,"UEP,",Vendor Address
75,642,285,683,299,47600,Vendor Address
76,690,285,740,299,SUBANG,Vendor Address
77,746,286,784,300,"JAYA,",Vendor Address
78,793,285,864,299,SELANGOR.,Vendor Address
79,1144,284,1237,297,BUTTERWORTH,Invoice Address
80,1244,284,1254,297,S.,Invoice Address
81,1261,284,1267,297,P.,Invoice Address
82,1278,284,1284,297,U,Invoice Address
83,48,336,72,349,TEL,Shipping Address
84,81,339,83,349,:,Shipping Address
85,92,337,167,350,043235221,Shipping Address
86,254,336,277,349,FAX,Shipping Address
87,277,331,291,358,:,Shipping Address
88,297,335,372,349,043231225,Shipping Address
89,603,336,627,349,TEL,Vendor Address
90,636,339,638,349,:,Vendor Address
91,647,335,740,349,03-80246363,Vendor Address
92,794,336,818,349,FAX,Vendor Address
93,826,339,828,349,:,Vendor Address
94,837,335,930,349,03-80247886,Vendor Address
95,1143,336,1168,349,TEL,Invoice Address
96,1168,331,1182,358,:,Invoice Address
97,1188,335,1263,349,043235221,Invoice Address
98,1349,336,1373,349,FAX,Invoice Address
99,1381,339,1383,349,:,Invoice Address
100,1392,335,1468,349,043231225,Invoice Address
101,62,385,109,400,TERMS,
102,116,385,133,400,OF,
103,142,385,229,400,PURCHASE:,
104,253,382,261,397,0,
105,530,383,567,398,Date,Issuer Date
106,577,387,579,397,:,Issuer Date
107,589,382,684,397,03/12/2020,Issuer Date
108,793,382,869,401,Delivery,Deliver Date
109,876,383,913,398,Date,Deliver Date
110,922,387,924,397,:,Deliver Date
111,940,382,1035,397,10/12/2020,Deliver Date
112,1217,382,1375,398,CancellationDate,Cancellation date
113,1385,387,1387,398,:,Cancellation date
114,1407,382,1501,397,23/01/2021,Cancellation date
115,1869,383,1902,398,Page,
116,1910,383,1923,396,:1,
117,1935,382,1950,396,of,
118,1962,382,1968,396,2,
119,63,414,108,432,Buyer,
120,119,418,121,429,:,
121,136,413,153,428,47,
122,239,408,334,435,STATIONERY,
123,561,416,567,423,*,
124,574,416,630,430,REMARK,
125,640,413,742,430,:BTS2020\21,
126,59,458,76,474,NO,
127,78,454,93,482,|,
